,Day,Month,Year,Latitud,Longitud,Sierra,Hierro,PIT,LC_capture,Ancho_capture,Plastron_capture,Peso_capture,lcclass,Birth_year,Release_year,release,Stage,Sex,Age_release,Age_capture,mod.ID,dup.ID,Sex_capture,Sex_stage,Sex_retro
146,14,5,1975,,,14032,32,15879282,26.1,26.7,,1.6,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,12,FALSE,Indeterminada,Indeterminada,Hembra
147,10,6,1976,,,14032,,15879282,33.9,35,,4,30,1970.5,1975,0,Juvenil,,4.5,5.5,12,FALSE,Indeterminada,Indeterminada,Hembra
148,11,4,1977,,,14032,,15879282,39.6,41.2,,6.2,30,1970.5,1975,0,Juvenil,,4.5,6.5,12,FALSE,Indeterminada,Indeterminada,Hembra
149,21,7,1978,,,14032,,15879282,46.8,49.6,,12,40,1970.5,1975,0,Juvenil,,4.5,7.5,12,FALSE,Indeterminada,Indeterminada,Hembra
150,20,2,1979,,,14032,,15879282,49,52,,12,40,1970.5,1975,0,Juvenil,,4.5,8.5,12,FALSE,Indeterminada,Indeterminada,Hembra
151,11,11,1980,,,14032,,15879282,55,58,,4,50,1970.5,1975,0,Adulta,,4.5,9.5,12,FALSE,,Hembra,Hembra
152,14,5,1981,,,14032,,15879282,59,62.4,,16,50,1970.5,1975,0,Adulta,,4.5,10.5,12,FALSE,,Hembra,Hembra
155,24,2,1986,,,14032,,15879282,59.2,62,46.2,41,50,1970.5,1975,0,Adulta,,4.5,15.5,12,FALSE,,Hembra,Hembra
154,25,10,1985,,,14032,,15879282,62.4,65,48.2,46.5,60,1970.5,1975,0,Adulta,,4.5,14.5,12,FALSE,,Hembra,Hembra
153,2,11,1982,,,14032,,15879282,62.7,65.2,,5.2,60,1970.5,1975,0,Adulta,,4.5,11.5,12,FALSE,,Hembra,Hembra
156,24,2,1989,,,14032,,15879282,65.2,70,50.5,33,60,1970.5,1975,0,Adulta,,4.5,18.5,12,FALSE,,Hembra,Hembra
157,2,12,1990,,,14032,,15879282,68.5,73,51.8,32,60,1970.5,1975,0,Adulta,Hembra,4.5,19.5,12,FALSE,Hembra,Hembra,Hembra
159,25,7,2002,-1.3696,-89.67934,14032,32,15879282,70,75,57.5,38,70,1970.5,1975,0,Adulta,Hembra,4.5,31.5,12,FALSE,Hembra,Hembra,Hembra
160,13,9,2007,,,14032,32,15879282,70,,,,,1970.5,1975,0,Adulta,Hembra,4.5,36.5,12,FALSE,Hembra,Hembra,Hembra
161,28,8,2019,-1.3751,-89.68204,,1232,15879282,70,75,53.7,42.4,70,1970.5,1975,0,Adulta,Hembra,4.5,48.5,12,FALSE,Hembra,Hembra,Hembra
158,22,11,1994,,,14032,,15879282,79.7,83.3,56.2,52,70,1970.5,1975,0,Adulta,Macho,4.5,23.5,12,FALSE,Macho,Hembra,Hembra
162,14,5,1975,,,14033,33,41894807,26,27,,1.6,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,13,FALSE,Indeterminada,Indeterminada,Hembra
163,17,1,1976,,,14033,,41894807,29.8,30.3,,3,20,1970.5,1975,0,Juvenil,,4.5,5.5,13,FALSE,Indeterminada,Indeterminada,Hembra
164,11,4,1977,,,14033,,41894807,39.2,40.5,,6,30,1970.5,1975,0,Juvenil,,4.5,6.5,13,FALSE,Indeterminada,Indeterminada,Hembra
